Rank,Name,Number of goals,Nationalities
1,Alan Shearer,260,England
2,Wayne Rooney,208,England
3,Andrew Cole,187,England
4,Sergio Agüero,184,Argentina
5,Frank Lampard,177,England
6,Thierry Henry,175,France
7,Harry Kane,166,England
8,Robbie Fowler,163,England
9,Jermain Defoe,162,England
10,Michael Owen,150,England
11,Les Ferdinand,149,England
12,Teddy Sheringham,146,England
13,Robin van Persie,144,Netherlands
14,Jimmy Floyd Hasselbaink,127,Netherlands
15,Robbie Keane,126,Ireland
16,Nicolas Anelka,125,France
17,Dwight Yorke,123,Trinidad & Tobago
18,Steven Gerrard,120,England
19,Jamie Vardy,118,England
20,Romelu Lukaku,113,Belgium
